PLAYER	YEAR	TOURNAMENT	TEAM	MATCHES	GOALS	PENALTIES	ASSISTS	YELLOW	RED	STARTS	SUB0IN	SUB0OUT
Helén Eke	2019	Svenska Cupen 2019/20 omg. 1-3	Hammarby IF FF	1	0	0	0	0	0	1	0	1	
Helén Eke	2018	Damallsvenskan	Hammarby IF FF	8	0	0	1	1	0	6	2	1	
Helén Eke	2017	Damallsvenskan	Hammarby IF FF	15	0	0	0	1	0	12	3	2	
Helén Eke	2017	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	1	0	0	0	0	1	0	0	
Helén Eke	2017	Svenska Cupen, Grupp 4	Hammarby IF FF	3	0	0	0	1	0	2	1	2	
Helén Eke	2015	Damallsvenskan	Hammarby IF DFF	15	0	0	0	2	0	10	5	1	
Helén Eke	2015	Svenska Cupen, damer	Hammarby IF DFF	3	1	0	0	1	0	3	0	0	
Helén Eke	2014	Elitettan	Hammarby IF DFF	21	4	0	0	0	0	20	1	0	
Helén Eke	2014	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	1	1	0	
Helén Eke	2013	Damallsvenskan	KIF Örebro DFF	14	4	0	0	2	0	10	4	9	
Helén Eke	2013	Svenska Cupen, damer	KIF Örebro DFF	1	0	0	0	0	0	0	1	0	
Helén Eke	2012	Svenska Cupen, damer	Tyresö FF	1	0	0	0	0	0	1	0	0	
Helén Eke	2011	Damallsvenskan	Hammarby IF DFF	16	0	0	0	2	0	16	0	2	
Helén Eke	2011	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	2	0	0	
Helén Eke	2010	Norrettan, damer	Rågsveds IF	13	1	0	0	3	0	13	0	0	
Helén Eke	2010	Damallsvenskan	Tyresö FF	7	1	0	0	0	0	2	5	0	
Helén Eke	2010	Svenska Cupen, damer	Tyresö FF	2	0	0	0	0	0	1	1	0	
